Start,Stop,AverageTmrca
0,1000000,8616.312913
1000000,2000000,17161.767007
2000000,3000000,14138.732933
3000000,4000000,16836.004728
4000000,5000000,18392.105474
5000000,6000000,15958.227969
6000000,7000000,14357.602965
7000000,8000000,16305.104647
8000000,9000000,15477.308375
9000000,10000000,16371.166321
10000000,11000000,15892.249641
11000000,12000000,14168.562597
12000000,13000000,18017.456612
13000000,14000000,15909.213704
14000000,15000000,17164.300646
15000000,16000000,12660.165697
16000000,17000000,15461.173616
17000000,18000000,12827.229317
18000000,19000000,6843.608909
19000000,20000000,4803.047024
20000000,21000000,5484.563253
21000000,22000000,3638.680784
22000000,23000000,5631.903036
23000000,23510001,2884.000000
