Start,Stop,AverageTmrca
0,1000000,9470.683145
1000000,2000000,15233.877159
2000000,3000000,15695.922071
3000000,4000000,17676.859911
4000000,5000000,20519.037300
5000000,6000000,16714.914779
6000000,7000000,14292.655793
7000000,8000000,15992.209767
8000000,9000000,15480.128301
9000000,10000000,16379.367488
10000000,11000000,17639.436620
11000000,12000000,14755.481885
12000000,13000000,18242.769644
13000000,14000000,15350.507731
14000000,15000000,15510.283012
15000000,16000000,11732.878277
16000000,17000000,13860.802280
17000000,18000000,11995.345249
18000000,19000000,5797.332601
19000000,20000000,5354.620566
20000000,21000000,6660.400930
21000000,22000000,7194.100899
22000000,23000000,6269.039744
23000000,23510001,5188.000000
