Start,Stop,AverageTmrca
0,200000,5255.000000
200000,400000,6095.084155
400000,600000,6973.256215
600000,800000,12677.167495
800000,1000000,15100.890475
1000000,1200000,14921.072455
1200000,1400000,20488.256545
1400000,1600000,19208.435170
1600000,1800000,13801.209135
1800000,2000000,18753.310775
2000000,2200000,9581.629585
2200000,2400000,12608.138875
2400000,2600000,18106.398490
2600000,2800000,15580.681090
2800000,3000000,14187.392750
3000000,3200000,15523.229905
3200000,3400000,16415.955435
3400000,3600000,17868.525095
3600000,3800000,17083.515130
3800000,4000000,27214.322535
4000000,4200000,25271.599280
4200000,4400000,19824.607270
4400000,4600000,15082.230530
4600000,4800000,20619.755415
4800000,5000000,20457.495775
5000000,5200000,12750.624145
5200000,5400000,14668.931930
5400000,5600000,18470.889520
5600000,5800000,14836.270605
5800000,6000000,10995.699370
6000000,6200000,14656.911250
6200000,6400000,17322.395405
6400000,6600000,13154.932035
6600000,6800000,9910.402610
6800000,7000000,13973.880750
7000000,7200000,24849.461790
7200000,7400000,17717.093200
7400000,7600000,15550.072240
7600000,7800000,13844.775485
7800000,8000000,18548.452225
8000000,8200000,12760.599730
8200000,8400000,13820.552010
8400000,8600000,14061.388220
8600000,8800000,18873.709155
8800000,9000000,18040.919495
9000000,9200000,15645.499930
9200000,9400000,14802.088180
9400000,9600000,18714.575550
9600000,9800000,17268.244725
9800000,10000000,18408.078930
10000000,10200000,26847.526550
10200000,10400000,13432.379415
10400000,10600000,18079.870260
10600000,10800000,16524.171670
10800000,11000000,14463.173265
11000000,11200000,12241.287765
11200000,11400000,17931.360310
11400000,11600000,12205.298240
11600000,11800000,12532.140605
11800000,12000000,17284.196525
12000000,12200000,13418.255110
12200000,12400000,22816.443610
12400000,12600000,21794.357120
12600000,12800000,19670.292625
12800000,13000000,18290.651760
13000000,13200000,18827.187865
13200000,13400000,9303.144910
13400000,13600000,15235.335755
13600000,13800000,18900.951235
13800000,14000000,11398.948585
14000000,14200000,19193.857675
14200000,14400000,18122.155350
14400000,14600000,17764.748570
14600000,14800000,12344.483855
14800000,15000000,14497.717780
15000000,15200000,10047.140620
15200000,15400000,20993.500485
15400000,15600000,14100.205705
15600000,15800000,9958.920185
15800000,16000000,9518.959880
16000000,16200000,11766.487365
16200000,16400000,10938.352975
16400000,16600000,22282.978920
16600000,16800000,15171.240520
16800000,17000000,15385.725755
17000000,17200000,20745.540465
17200000,17400000,13687.642880
17400000,17600000,3331.548960
17600000,17800000,2613.572590
17800000,18000000,8982.771140
18000000,18200000,11799.527130
18200000,18400000,6376.406080
18400000,18600000,4392.152100
18600000,18800000,5108.810445
18800000,19000000,5870.720120
19000000,19200000,4765.555945
19200000,19400000,2691.519875
19400000,19600000,2358.000000
19600000,19800000,2793.279945
19800000,20000000,6631.981345
20000000,20200000,9090.595805
20200000,20400000,13119.040995
20400000,20600000,7806.330030
20600000,20800000,5711.913020
20800000,21000000,7564.738125
21000000,21200000,2916.697215
21200000,21400000,1777.000000
21400000,21600000,1750.801960
21600000,21800000,1657.000000
21800000,22000000,1657.000000
22000000,22200000,1912.004725
22200000,22400000,9646.746905
22400000,22600000,7052.184220
22600000,22800000,4896.000000
22800000,23000000,5662.341860
23000000,23200000,5404.000000
23200000,23400000,5404.000000
23400000,23510001,5404.000000
