Start,Stop,AverageTmrca
0,1000000,8158.294424
1000000,2000000,16528.673594
2000000,3000000,15063.943156
3000000,4000000,19541.738998
4000000,5000000,18625.555461
5000000,6000000,14652.938931
6000000,7000000,12799.346572
7000000,8000000,18502.569007
8000000,9000000,15002.958282
9000000,10000000,16178.347718
10000000,11000000,15208.227551
11000000,12000000,13798.024508
12000000,13000000,19575.130601
13000000,14000000,13958.114248
14000000,15000000,18293.031596
15000000,16000000,12921.105706
16000000,17000000,14237.240269
17000000,18000000,13603.214344
18000000,19000000,9051.966374
19000000,20000000,7604.701037
20000000,21000000,4553.391993
21000000,22000000,4495.761842
22000000,23000000,7987.901526
23000000,23510001,11019.000000
