Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,200000,0,1.09727603333333,5255,721,0.000889778,587,0.000726333
200001,400000,0.1172750695,0.9109798,6095.084155,699,0.000850111,374,0.000453
400001,600000,0.96751932175,0.737754,6973.256215,731,0.00110733,585,0.000893444
600001,800000,1.7004885045,0.8508741325,12677.167495,1078,0.00185078,1299,0.00220133
800001,1000000,2.46277645475,0.688177383333333,15100.890475,1405,0.00231433,831,0.00130667
1000001,1200000,3.22506440525,1.35406325,14921.072455,1454,0.00230456,1800,0.00289056
1200001,1400000,2.2282263165,1.912275,20488.256545,1627,0.00278967,2806,0.00484556
1400001,1600000,1.9643574105,1.21599212,19208.43517,1514,0.00250044,2026,0.00347544
1600001,1800000,2.3455013855,0.774774,13801.209135,1294,0.00212944,1040,0.00168667
1800001,2000000,2.96119549925,0.79282375,18753.310775,1380,0.00241622,1686,0.002915
2000001,2200000,3.28370194,0.339206,9581.629585,953,0.00137678,471,0.00064
2200001,2400000,2.90255796475,1.4917505,12608.138875,1239,0.00199767,2544,0.00416922
2400001,2600000,2.87323919725,1.44596543333333,18106.39849,1488,0.00256178,1354,0.002288
2600001,2800000,3.28370193975,1.7788195,15580.68109,1353,0.00220533,2091,0.00346289
2800001,3000000,2.492095222,1.60392955,14187.39275,1230,0.00194378,1594,0.00268389
3000001,3200000,2.8146016625,0.6642307,15523.229905,1193,0.00183222,735,0.00105511
3200001,3400000,4.1632649595,0.826779133333333,16415.955435,1303,0.00218644,1252,0.00212556
3400001,3600000,3.37165824175,0.348841766666667,17868.525095,1472,0.00237556,677,0.00108989
3600001,3800000,4.309858796,1.1075888,17083.51513,1427,0.00211978,1482,0.00216467
3800001,4000000,6.30353497375,3.467802,27214.322535,1949,0.00324467,6352,0.0108386
4000001,4200000,6.244897439,1.51306925,25271.59928,1695,0.00281389,1718,0.00288167
4200001,4400000,5.18942181575,0.9774381,19824.60727,1521,0.00253067,1329,0.00213989
4400001,4600000,3.37165824175,1.52780265,15082.23053,1359,0.00239622,1513,0.00267656
4600001,4800000,4.5737277015,2.415166,20619.755415,1500,0.00264989,3294,0.00586089
4800001,5000000,6.626041414,1.22802906666667,20457.495775,1680,0.00288944,3038,0.00539256
5000001,5200000,5.599884558,0.702143866666667,12750.624145,1182,0.00183589,897,0.00141133
5200001,5400000,3.89939605325,0.7729679,14668.93193,1437,0.00218067,888,0.00137489
5400001,5600000,2.84392042975,0.65175952,18470.88952,1343,0.00216822,898,0.00146233
5600001,5800000,2.286863851,0.964193166666667,14836.270605,1085,0.002007,933,0.00169233
5800001,6000000,1.84708234125,1.218380775,10995.69937,1049,0.00164956,1322,0.00209767
6000001,6200000,2.6093702915,0.771111725,14656.91125,1036,0.00186689,820,0.00153033
6200001,6400000,3.225064405,0.5036837,17322.395405,1348,0.00231033,749,0.001264
6400001,6600000,3.5475708455,0.90824785,13154.932035,1083,0.001731,1114,0.00182578
6600001,6800000,3.04915180125,1.570183,9910.40261,1028,0.00157422,1232,0.001879
6800001,7000000,4.28054002925,0.737019975,13973.88075,1435,0.00228811,1196,0.00188956
7000001,7200000,4.6910027715,1.00736196666667,24849.46179,1857,0.00308033,1759,0.00297711
7200001,7400000,2.69732659325,0.6615414,17717.0932,1313,0.00237111,636,0.001105
7400001,7600000,2.198907549,0.99054445,15550.07224,1157,0.00186633,809,0.00129722
7600001,7800000,2.1402700145,0.5398326,13844.775485,1300,0.00192733,730,0.00105133
7800001,8000000,4.13394619225,0.54450605,18548.452225,1467,0.00246822,973,0.00159456
8000001,8200000,5.5412470235,0.4161676,12760.59973,1234,0.00194556,698,0.00107811
8200001,8400000,3.7821209845,0.6610769,13820.55201,1042,0.00173789,768,0.00122367
8400001,8600000,3.45961454375,0.7976854,14061.38822,1263,0.00203367,990,0.00159533
8600001,8800000,3.10778933575,0.78265734,18873.709155,1490,0.00240767,1290,0.00197689
8800001,9000000,2.49209522225,0.8439698,18040.919495,1315,0.002185,1131,0.00184422
9000001,9200000,2.638689059,1.0292188,15645.49993,1140,0.001975,1611,0.00282067
9200001,9400000,1.817763574,1.8087632,14802.08818,1123,0.00192189,1834,0.003127
