Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,1.24738028236364,0.795020773888889,7840.446348,3937,0.00120709,3087,0.0009322
1000001,2000000,2.71687243833333,1.03025923333333,14461.363767,6085,0.00193296,7544,0.00241207
2000001,3000000,2.88301211975,1.31416023333333,14206.586825,6187,0.00199618,7257,0.0024078
3000001,4000000,4.16326495933333,0.868708592857143,17009.293726,7007,0.00223593,9301,0.00305478
4000001,5000000,5.41419903158333,1.28123583333333,19138.323891,8077,0.00258176,10844,0.00346958
5000001,6000000,3.43029577633333,0.821695123529412,15607.264625,6474,0.00217364,4981,0.00165702
6000001,7000000,3.47916038875,1.02545252727273,13023.946862,5822,0.00187967,5077,0.00164227
7000001,8000000,3.67461883758333,0.808397253333333,15638.136903,6448,0.00205624,4606,0.00147818
8000001,9000000,3.8309855965,0.7231038875,15607.672667,6480,0.00212444,5020,0.00163162
9000001,10000000,3.37165824183333,1.34090943846154,13808.382453,5444,0.00177896,6449,0.00210493
10000001,11000000,4.35872340816667,1.38035375882353,14824.869299,7038,0.00222289,8786,0.00277
11000001,12000000,2.11095124691667,1.34010856,14930.100748,6103,0.00192678,9705,0.00310676
12000001,13000000,3.5671166905,1.15827706,18605.410782,6948,0.00229678,7510,0.00245922
13000001,14000000,2.46277645475,1.052703282,14260.014712,6058,0.00192093,4985,0.00158671
14000001,15000000,2.20868047141667,1.13201126666667,16668.893688,6529,0.00209636,6229,0.00200618
15000001,16000000,1.29002576208333,0.85732375,12354.96262,5099,0.00161944,3929,0.00119531
16000001,17000000,2.599597369,1.26413372,13701.759462,5607,0.00189096,8272,0.00280007
17000001,18000000,1.53434882308333,1.15135194444444,14369.060925,5221,0.00165051,4214,0.00129051
18000001,19000000,0.5863753465,1.06192917,4623.443795,2505,0.000765956,2255,0.000674333
19000001,20000000,0.332279362916667,1.25442815,4565.184188,2797,0.000818622,2698,0.000797467
20000001,21000000,0.5179648895,1.2703496375,6235.083037,2919,0.000865422,3159,0.000980067
21000001,22000000,0.381143975166667,0.84917254,3692.2631,2318,0.000696267,2264,0.000679022
22000001,23000000,0.625467036166667,1.14232,5217.985256,3255,0.000931244,3017,0.000878444
