Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,1.0320206097,0.73153505483753,9220.279668,4634,0.00140247,3676,0.00111616
1000001,2000000,2.7090541004,1.3168435573532,17434.456816,7269,0.00242807,9358,0.00316264
2000001,3000000,2.8146016627,1.3369127016419,14012.848158,6263,0.00201707,8054,0.0026488
3000001,4000000,4.2336300009,1.2667403693172,18821.10962,7344,0.00235173,10498,0.00345476
4000001,5000000,5.2070130759,1.4924069545745,20251.137654,7755,0.00265602,10892,0.00379031
5000001,6000000,3.2485194189,0.8049236445137,14344.483114,6096,0.00196827,4938,0.00160771
6000001,7000000,2.9318767319,0.8681506470541,13803.70441,5930,0.00195411,5111,0.00167773
7000001,8000000,3.8231672588,0.6576530795339,18101.970988,7094,0.00234267,4907,0.00160504
8000001,9000000,3.576889613,0.6997142977588,15511.433722,6344,0.00206196,4877,0.00154364
9000001,10000000,2.8146016628,1.2390201148793,16967.697463,6516,0.00224129,7748,0.00264416
10000001,11000000,4.6792752642,1.3433814971166,17869.424232,7725,0.00262422,9618,0.00322116
11000001,12000000,1.9467661499,1.6583527525268,14438.856689,5852,0.0018626,9583,0.00312431
12000001,13000000,3.7645297238,1.1350217638423,19198.000045,7489,0.0025022,8085,0.00267093
13000001,14000000,2.5096864825,0.75019560191816,14733.11367,6459,0.00202907,5788,0.00184036
14000001,15000000,2.3689563994,0.9564196973232,16384.592646,6784,0.00223873,6391,0.00213856
15000001,16000000,1.3838458175,0.83387796027285,12923.745375,5229,0.00170851,4286,0.0014526
16000001,17000000,2.8380566765,1.5862704603589,15108.957107,6048,0.0019408,9124,0.00292278
17000001,18000000,1.1844781998,0.7951299959287,9872.215207,4047,0.00130689,3073,0.000947889
18000001,19000000,0.4925552911,0.936062835793,6709.523175,2564,0.000942022,2249,0.000818067
19000001,20000000,0.328370194,0.868490984115,3848.067422,1869,0.000544311,1555,0.000459644
20000001,21000000,0.4808277842,1.0694932856161,8658.523595,3358,0.00115129,3577,0.00123616
21000001,22000000,0.2110951247,0.9426717054726,1951.699835,1541,0.000426444,1512,0.000423489
22000001,23000000,0.7505604434,0.9329156636981,5833.855542,2579,0.000688511,2489,0.000670067
