Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,200000,0,1.09727603333333,4802,662,0.00101444,586,0.000914444
200001,400000,0.1172750695,0.9109798,4669.850215,604,0.000930111,359,0.000557778
400001,600000,0.96751932175,0.737754,5502.62772,509,0.000737222,384,0.000533333
600001,800000,1.7004885045,0.8508741325,8636.21231,611,0.000867889,754,0.00109411
800001,1000000,2.46277645475,0.688177383333333,9916.60717,760,0.00113256,428,0.000668444
1000001,1200000,3.22506440525,1.35406325,12040.0095,1133,0.00179033,1503,0.00238078
1200001,1400000,2.2282263165,1.912275,16487.20664,1220,0.00211633,2270,0.00398267
1400001,1600000,1.9643574105,1.21599212,18373.408875,1261,0.002118,1592,0.00264933
1600001,1800000,2.3455013855,0.774774,16875.17787,1405,0.00227878,1097,0.00180122
1800001,2000000,2.96119549925,0.79282375,19005.60079,1585,0.00270422,1955,0.00341522
2000001,2200000,3.28370194,0.339206,15089.129155,1322,0.00218944,682,0.00110789
2200001,2400000,2.90255796475,1.4917505,14547.36828,1143,0.00192111,2496,0.004236
2400001,2600000,2.87323919725,1.44596543333333,15811.457925,1223,0.00201133,1042,0.00166189
2600001,2800000,3.28370193975,1.7788195,15685.77204,1293,0.002092,2169,0.00351589
2800001,3000000,2.492095222,1.60392955,12054.428025,1138,0.00173467,1421,0.00223378
3000001,3200000,2.8146016625,0.6642307,14452.70199,1252,0.00195544,742,0.00107122
3200001,3400000,4.1632649595,0.826779133333333,18593.496575,1454,0.00242378,1557,0.002618
3400001,3600000,3.37165824175,0.348841766666667,16265.404215,1267,0.00208478,545,0.000863444
3600001,3800000,4.309858796,1.1075888,11052.04784,1106,0.00173522,1092,0.00181033
3800001,4000000,6.30353497375,3.467802,25335.91138,1860,0.003207,5917,0.0102358
4000001,4200000,6.244897439,1.51306925,26441.07546,1881,0.00324278,1802,0.00302078
4200001,4400000,5.18942181575,0.9774381,22777.84612,1659,0.00279889,1395,0.002366
4400001,4600000,3.37165824175,1.52780265,11984.07115,1079,0.00164789,1329,0.00205356
4600001,4800000,4.5737277015,2.415166,19109.44561,1507,0.002475,3407,0.00567411
4800001,5000000,6.626041414,1.22802906666667,18922.416555,1657,0.00265522,3130,0.00513667
5000001,5200000,5.599884558,0.702143866666667,17141.321085,1796,0.002785,1322,0.00204311
5200001,5400000,3.89939605325,0.7729679,14209.547285,1183,0.00193689,681,0.00105089
5400001,5600000,2.84392042975,0.65175952,20221.609765,1361,0.00236256,834,0.00149711
5600001,5800000,2.286863851,0.964193166666667,19716.01502,1482,0.002383,1280,0.00205044
5800001,6000000,1.84708234125,1.218380775,12463.45316,1062,0.00185611,1331,0.00231556
6000001,6200000,2.6093702915,0.771111725,16025.081525,1467,0.00224589,1104,0.00163956
6200001,6400000,3.225064405,0.5036837,17682.67361,1252,0.00217933,753,0.00132033
6400001,6600000,3.5475708455,0.90824785,14048.102715,1208,0.00198978,1251,0.00206744
