Pos,Div1,Div2,Div3
0,38236.894076,38236.894076,31565.223189
50083,33912.382754,33912.382754,25319.893950
100166,21016.393436,21016.393436,15692.923199
150250,23670.679067,23670.679067,18341.592378
200333,21084.206850,21084.206850,19366.251401
250417,21734.599399,21734.599399,21502.255398
300500,26530.007440,26530.007440,24568.306915
350584,19999.264242,19999.264242,19257.608356
400667,16629.906652,16629.906652,12872.311111
450751,24408.645087,24408.645087,18250.798531
500834,26008.989941,26008.989941,22444.152189
550918,33135.068237,33135.068237,28942.786221
601001,43369.909807,43369.909807,46692.668424
651085,59327.861954,59327.861954,67055.359601
701168,62112.847891,62112.847891,68420.762914
751252,53242.932177,53242.932177,57076.943318
801335,38596.250762,38596.250762,41588.511603
851419,27008.233979,27008.233979,28819.019238
901502,39646.430212,39646.430212,41536.827190
951586,30939.907089,30939.907089,31031.579516
1001669,30114.341986,30114.341986,27031.812927
1051752,32371.372540,32371.372540,26919.216834
1101836,33073.914200,33073.914200,32778.815373
1151919,45347.475648,45347.475648,56554.311999
1202003,28381.844487,28381.844487,34945.290483
1252086,25037.384778,25037.384778,31154.692099
1302170,17704.981558,17704.981558,26956.069566
1352253,18669.227123,18669.227123,24231.663949
1402337,33393.059063,33393.059063,47167.741548
1452420,32248.084062,32248.084062,45664.763879
1502504,33789.629160,33789.629160,41511.652697
1552587,44602.817756,44602.817756,53423.594570
1602671,33348.901742,33348.901742,44506.536477
1652754,36579.245503,36579.245503,53545.255779
1702838,25162.821604,25162.821604,32616.249587
1752921,24537.602314,24537.602314,21100.728299
1803005,31941.140796,31941.140796,29688.446600
1853088,39567.298469,39567.298469,35773.702876
1903172,34662.179098,34662.179098,32264.460669
1953255,34306.028311,34306.028311,20106.412385
2003338,36996.196539,36996.196539,27430.825086
2053422,35030.492510,35030.492510,28201.992754
2103505,23222.530338,23222.530338,20586.377512
2153589,21634.791446,21634.791446,21098.159425
2203672,28244.863866,28244.863866,31609.832397
2253756,48827.025111,48827.025111,48063.090782
2303839,56188.101968,56188.101968,55162.710418
2353923,40317.780772,40317.780772,46974.888104
2404006,36292.894637,36292.894637,37122.649278
2454090,35955.297660,35955.297660,34813.816936
2504173,43275.890572,43275.890572,35355.454320
2554257,38358.468350,38358.468350,27054.104154
2604340,22420.970636,22420.970636,20021.552746
2654424,28839.992029,28839.992029,24313.311253
2704507,27137.058947,27137.058947,17612.448759
2754591,23204.396760,23204.396760,11343.414684
2804674,28059.009270,28059.009270,33794.813242
2854758,19391.286567,19391.286567,26362.774500
2904841,19757.291534,19757.291534,28223.551054
2954924,18387.253499,18387.253499,26313.386303
3005008,16604.589072,16604.589072,21037.578117
3055091,12965.576740,12965.576740,9517.896540
3105175,13777.557520,13777.557520,9236.411501
3155258,17185.657377,17185.657377,18665.477261
3205342,25904.273187,25904.273187,26867.354466
3255425,28804.688450,28804.688450,27241.169982
3305509,32286.457286,32286.457286,30941.786600
3355592,24261.198573,24261.198573,28126.666667
3405676,40202.290512,40202.290512,46394.630825
3455759,72069.187003,72069.187003,77126.644994
3505843,18193.504667,18193.504667,18067.812542
3555926,18903.859815,18903.859815,21549.227622
3606010,26246.108238,26246.108238,36126.826328
3656093,29543.989543,29543.989543,44185.084070
3706177,47963.544520,47963.544520,50744.118419
3756260,34990.177417,34990.177417,37319.140065
3806344,24321.394978,24321.394978,25763.655634
3856427,24430.772191,24430.772191,24009.668926
3906510,21358.186561,21358.186561,22603.430082
3956594,22176.670072,22176.670072,23707.391690
4006677,22481.875390,22481.875390,24296.020613
4056761,21792.966122,21792.966122,25052.674125
4106844,21535.510410,21535.510410,25150.474517
4156928,21904.216187,21904.216187,24612.014188
4207011,22173.978125,22173.978125,24975.697739
4257095,23032.210068,23032.210068,26665.113408
4307178,21492.734211,21492.734211,24588.022257
4357262,20358.970313,20358.970313,26658.058149
4407345,17178.832630,17178.832630,22856.386944
4457429,14384.852255,14384.852255,19315.171602
4507512,27735.096846,27735.096846,36507.711840
4557596,42687.060232,42687.060232,44685.899038
4607679,33082.965738,33082.965738,29312.977778
4657763,31434.436263,31434.436263,28094.381096
4707846,25799.734384,25799.734384,23687.991022
4757930,35200.889968,35200.889968,40502.190685
4808013,19460.540682,19460.540682,22898.129850
4858096,17104.483508,17104.483508,20554.088889
4908180,19509.383954,19509.383954,25908.610028
4958263,25682.392454,25682.392454,30090.511521
5008347,39401.199507,39401.199507,45330.910178
5058430,33694.628590,33694.628590,36367.252007
5108514,49729.739165,49729.739165,48304.425685
5158597,42077.405853,42077.405853,40888.917354
5208681,38199.604404,38199.604404,36772.384254
5258764,45003.727503,45003.727503,42082.486496
5308848,44784.871566,44784.871566,37957.334933
5358931,45402.923064,45402.923064,46843.042775
5409015,37186.450181,37186.450181,37658.947208
5459098,24752.364040,24752.364040,25635.331634
5509182,34943.723617,34943.723617,35570.002369
5559265,40968.722950,40968.722950,39783.716280
5609349,36512.482768,36512.482768,33013.640218
5659432,34245.444087,34245.444087,42969.028859
5709516,23334.221582,23334.221582,25458.077223
5759599,33297.591904,33297.591904,34462.121922
5809682,39739.555959,39739.555959,41363.877371
5859766,57131.805450,57131.805450,48920.882770
5909849,31713.213991,31713.213991,36737.849611
5959933,37446.495929,37446.495929,40075.289906
6010016,46599.526111,46599.526111,48445.590499
6060100,41172.706986,41172.706986,45677.546042
6110183,36773.744390,36773.744390,20745.741909
6160267,41249.351894,41249.351894,40924.996450
6210350,34358.583859,34358.583859,34879.326590
6260434,46359.540862,46359.540862,39844.126491
6310517,47234.816927,47234.816927,47152.086915
6360601,32522.198662,32522.198662,28735.021739
