Start,Stop,AverageTmrca
0,1000000,24579.072267
1000000,2000000,18173.359390
2000000,3000000,15746.379458
3000000,4000000,16698.210159
4000000,5000000,28354.658894
5000000,6000000,34374.839941
6000000,7000000,32371.481429
7000000,8000000,35701.814419
8000000,9000000,32310.386888
9000000,10000000,33768.080417
10000000,11000000,25201.514984
11000000,12000000,22249.510746
12000000,13000000,20736.333944
13000000,14000000,25222.983424
14000000,15000000,21953.049034
15000000,16000000,29373.474487
16000000,17000000,32403.394060
17000000,18000000,35978.651033
18000000,19000000,36372.588442
19000000,20000000,34702.861634
20000000,21000000,28727.064895
21000000,22000000,23911.314234
22000000,23000000,26335.208974
23000000,24000000,26730.738641
24000000,25000000,24659.602352
25000000,26000000,35623.940997
26000000,27000000,34383.731410
27000000,28000000,33539.100909
28000000,29000000,32280.242240
29000000,30000000,36178.768969
30000000,30000001,26026.000000
