Start,Stop,AverageTmrca
0,200000,13798.000000
200000,400000,13798.000000
400000,600000,39311.848030
600000,800000,20108.355390
800000,1000000,9300.301675
1000000,1200000,19188.680430
1200000,1400000,30991.026400
1400000,1600000,13108.766210
1600000,1800000,14542.650015
1800000,2000000,11997.522430
2000000,2200000,25191.269140
2200000,2400000,33761.438290
2400000,2600000,25926.171730
2600000,2800000,16512.094190
2800000,3000000,22091.347880
3000000,3200000,25251.827225
3200000,3400000,28346.216445
3400000,3600000,20390.448880
3600000,3800000,14270.612575
3800000,4000000,22226.534140
4000000,4200000,27406.352560
4200000,4400000,27788.198750
4400000,4600000,25413.821270
4600000,4800000,38023.640975
4800000,5000000,23809.948900
5000000,5200000,29191.009885
5200000,5400000,22250.236900
5400000,5600000,36116.397690
5600000,5800000,29251.768690
5800000,6000000,35986.694680
6000000,6200000,26147.928305
6200000,6400000,35474.868700
6400000,6600000,44156.344020
6600000,6800000,32918.279840
6800000,7000000,39930.361565
7000000,7200000,43177.281745
7200000,7400000,39905.014660
7400000,7600000,35452.750585
7600000,7800000,34431.989830
7800000,8000000,37691.172875
8000000,8200000,30256.892390
8200000,8400000,34854.068730
8400000,8600000,30423.579735
8600000,8800000,35983.135600
8800000,9000000,35132.245525
9000000,9200000,34182.736195
9200000,9400000,29026.722995
9400000,9600000,33771.357050
9600000,9800000,28467.230360
9800000,10000000,35617.138455
10000000,10200000,16581.618390
10200000,10400000,19885.296215
10400000,10600000,12902.877085
10600000,10800000,28344.321755
10800000,11000000,23373.671990
11000000,11200000,22996.557500
11200000,11400000,17699.168505
11400000,11600000,19386.525715
11600000,11800000,21259.903455
11800000,12000000,24447.175815
12000000,12200000,31296.629305
12200000,12400000,16529.115960
12400000,12600000,19038.029700
12600000,12800000,21780.244370
12800000,13000000,23624.000000
13000000,13200000,26435.673175
13200000,13400000,21939.116685
13400000,13600000,22417.937015
13600000,13800000,22531.787730
13800000,14000000,21595.887345
14000000,14200000,34264.342180
14200000,14400000,19549.546680
14400000,14600000,20437.612165
14600000,14800000,15967.746490
14800000,15000000,34022.339085
15000000,15200000,37983.965365
15200000,15400000,30056.515105
15400000,15600000,36102.529455
15600000,15800000,34645.362620
15800000,16000000,42886.487685
16000000,16200000,31021.582800
16200000,16400000,33134.693115
16400000,16600000,41799.624185
16600000,16800000,33766.412775
16800000,17000000,37043.238620
17000000,17200000,33660.092800
17200000,17400000,24880.156615
17400000,17600000,35203.600330
17600000,17800000,33255.287080
17800000,18000000,35466.899720
18000000,18200000,32910.097060
18200000,18400000,35181.259320
18400000,18600000,26496.371830
18600000,18800000,38115.502655
18800000,19000000,33884.889500
19000000,19200000,31798.975450
19200000,19400000,32191.128995
19400000,19600000,39490.163705
19600000,19800000,32956.304510
19800000,20000000,29404.980105
20000000,20200000,23510.452175
20200000,20400000,32448.219315
20400000,20600000,17611.938340
20600000,20800000,8758.219720
20800000,21000000,25324.008880
21000000,21200000,35203.815775
21200000,21400000,6802.150200
21400000,21600000,8133.801005
21600000,21800000,44722.314200
21800000,22000000,26031.869440
22000000,22200000,21747.461635
22200000,22400000,30885.753985
22400000,22600000,33362.695410
22600000,22800000,29339.697070
22800000,23000000,29473.418085
23000000,23200000,37011.301530
23200000,23400000,27493.987965
23400000,23600000,14557.710555
23600000,23800000,19549.562520
23800000,24000000,13092.115520
24000000,24200000,19480.139305
24200000,24400000,35809.060755
24400000,24600000,20669.577745
24600000,24800000,32809.608760
24800000,25000000,29205.587835
25000000,25200000,38233.378000
25200000,25400000,35768.387065
25400000,25600000,26602.575120
25600000,25800000,30478.014050
25800000,26000000,36672.610300
26000000,26200000,36014.602075
26200000,26400000,37050.580795
26400000,26600000,40010.113490
26600000,26800000,30321.567405
26800000,27000000,33789.900580
27000000,27200000,36278.283070
27200000,27400000,26016.960525
27400000,27600000,30562.727940
27600000,27800000,40605.457195
27800000,28000000,34110.120915
28000000,28200000,40187.687965
28200000,28400000,37425.853800
28400000,28600000,28860.408075
28600000,28800000,33013.465265
28800000,29000000,31621.569455
29000000,29200000,38225.501680
29200000,29400000,39241.551525
29400000,29600000,31547.536615
29600000,29800000,39958.439215
29800000,30000000,42653.175540
30000000,30000001,31723.000000
