Start,Stop,AverageTmrca
0,1000000,23936.614733
1000000,2000000,16928.145494
2000000,3000000,19320.085080
3000000,4000000,29467.951392
4000000,5000000,30617.559609
5000000,6000000,34752.444438
6000000,7000000,32533.362314
7000000,8000000,33396.122872
8000000,9000000,33474.044769
9000000,10000000,33621.870962
10000000,11000000,28085.917425
11000000,12000000,29901.498856
12000000,13000000,23710.125112
13000000,14000000,24976.549997
14000000,15000000,28397.674715
15000000,16000000,33534.231969
16000000,17000000,35215.982236
17000000,18000000,31218.700863
18000000,19000000,31951.858017
19000000,20000000,33378.830017
20000000,21000000,26365.269163
21000000,22000000,25631.862658
22000000,23000000,23225.941695
23000000,24000000,14550.179137
24000000,25000000,24472.078970
25000000,26000000,29719.577915
26000000,27000000,35632.906190
27000000,28000000,33756.961394
28000000,29000000,35924.868919
29000000,30000000,35376.620330
30000000,30000001,45947.000000
