Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,200000,1e-09,0.5937401358895,13798,1259,0.00199722,748,0.00117744
200001,400000,1e-09,1.0061622525085,13798,1330,0.00190067,1335,0.00192911
400001,600000,1e-09,0.7861317225715,39311.84803,2402,0.00434156,1825,0.00325378
600001,800000,1e-09,0.866136980172,20108.35539,1514,0.00260089,1027,0.001687
800001,1000000,1e-09,0.795602793692,9300.301675,984,0.00130133,752,0.000964778
1000001,1200000,1e-09,0.7759865663515,19188.68043,1367,0.00229911,1113,0.00192644
1200001,1400000,1e-09,1.2693183916235,30991.0264,1906,0.00395489,2419,0.00499189
1400001,1600000,1e-09,1.185058842336,13108.76621,1277,0.00191678,1494,0.00226733
1600001,1800000,1e-09,0.92042936898,14542.650015,1423,0.00196122,1269,0.00172644
1800001,2000000,1e-09,0.812519140544,11997.52243,1282,0.00158244,1083,0.00130233
2000001,2200000,1e-09,1.138549795255,25191.26914,1905,0.00303267,2211,0.00348278
2200001,2400000,1e-09,0.3838066692205,33761.43829,2079,0.00362811,861,0.00167656
2400001,2600000,1e-09,0.9333402480475,25926.17173,1730,0.00339,1426,0.00272367
2600001,2800000,1e-09,1.410593,16512.09419,1187,0.001964,1719,0.00287767
2800001,3000000,1e-09,1.410593,22091.34788,1643,0.002652,2414,0.00390011
3000001,3200000,1e-09,1.2280841575887,25251.827225,1848,0.00323344,2267,0.00392711
3200001,3400000,1e-09,0.9249092903475,28346.216445,1933,0.00337344,1845,0.00324089
3400001,3600000,1e-09,0.901074024134,20390.44888,1418,0.00245456,1341,0.00235144
3600001,3800000,1e-09,0.395701450278,14270.612575,1057,0.00173244,412,0.000615778
3800001,4000000,1e-09,0.777696362882,22226.53414,1688,0.00262011,1415,0.00239
4000001,4200000,1e-09,1.2563845069115,27406.35256,1784,0.00326478,2147,0.00402133
4200001,4400000,1e-09,0.814458571332,27788.19875,1818,0.00247789,1508,0.00212944
4400001,4600000,1e-09,1.4101243496285,25413.82127,1858,0.00290789,2679,0.00445867
4600001,4800000,1e-09,0.987748939571,38023.640975,2455,0.00497833,2209,0.00437544
4800001,5000000,1e-09,1.37446,23809.9489,1715,0.00246756,2298,0.00327144
5000001,5200000,1.5e-08,0.90789031984,29191.009885,1795,0.00325044,1677,0.00304311
5200001,5400000,1.5e-08,0.7955176,22250.2369,1274,0.00228722,1030,0.00184633
5400001,5600000,1.5e-08,0.729775928395,36116.39769,2080,0.00372722,1580,0.00280222
5600001,5800000,1.5e-08,0.791249983303,29251.76869,2062,0.00341989,1553,0.00251244
5800001,6000000,1.5e-08,0.885029705582,35986.69468,2191,0.00380056,1937,0.003223
6000001,6200000,1.5e-08,0.826969669544,26147.928305,1721,0.00310856,1479,0.00270867
6200001,6400000,1.5e-08,0.861062529949,35474.8687,2208,0.00401289,2010,0.00370178
6400001,6600000,1.5e-08,0.559798631905,44156.34402,2772,0.00500111,1418,0.00249744
6600001,6800000,1.5e-08,1.13918467722,32918.27984,1902,0.00310544,2249,0.00362233
6800001,7000000,1.5e-08,1.599181181565,39930.361565,2542,0.00479133,3904,0.00736578
7000001,7200000,1.5e-08,1.14753519132,43177.281745,2425,0.004453,2738,0.00507889
