Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,50000,1e-09,0.5869804,24033,535,0.00364356,303,0.00203156
50001,100000,1e-09,0.610696352086,30680.00588,670,0.00473778,399,0.00283244
100001,150000,1e-09,0.446480671168,44810.36432,734,0.00542578,311,0.00228178
150001,200000,1e-09,0.730803120304,32159.5307,530,0.00391378,407,0.00298311
200001,250000,1e-09,1.047316,14831.13216,357,0.00214133,377,0.00229778
250001,300000,1e-09,1.012073610034,18943.29734,456,0.00247244,419,0.002308
300001,350000,1e-09,0.9826297,17593,433,0.00252889,358,0.00200178
350001,400000,1e-09,0.9826297,17384.7466,348,0.00205111,369,0.00219867
400001,450000,1e-09,0.9826297,36279.24928,520,0.004156,537,0.00417289
450001,500000,1e-09,0.9826297,69898.36032,853,0.00715067,910,0.00781778
500001,550000,1e-09,0.948959890286,28773.33904,474,0.00322044,465,0.00321422
550001,600000,1e-09,0.2303076,22119.1331,379,0.00244178,108,0.000691111
600001,650000,1e-09,0.2303076,12783,276,0.00172311,63,0.000394222
650001,700000,1e-09,0.992852320688,12783,235,0.00153156,269,0.00175689
700001,750000,1e-09,1.120694,12783,282,0.00182578,329,0.00207111
750001,800000,1e-09,1.120694,12838.6068,272,0.00159111,302,0.00179689
800001,850000,1e-09,1.120694,15018,353,0.00194622,390,0.00224267
850001,900000,1e-09,0.873028312296,18491.52912,326,0.00194667,295,0.00161022
900001,950000,1e-09,0.504231462472,18265,406,0.00253422,203,0.00133244
950001,1000000,1e-09,0.6844574,18265,337,0.00214978,240,0.00146044
1000001,1050000,1e-09,0.6844574,18265,383,0.00249244,252,0.00158089
1050001,1100000,1e-09,0.940687754302,18265,302,0.00218,269,0.00206622
1100001,1150000,1e-09,0.892755156704,18265,271,0.00216933,262,0.00216889
1150001,1200000,1e-09,0.5860459544,29196.5002,460,0.003788,270,0.00216311
1200001,1250000,1e-09,1.001123072414,16171.08332,311,0.00200489,332,0.00213822
1250001,1300000,1e-09,1.465715,10742,278,0.00178578,388,0.00254267
1300001,1350000,1e-09,1.33293849408,10742,241,0.00157644,317,0.00213289
1350001,1400000,1e-09,1.277497,10742,237,0.001516,294,0.00191556
1400001,1450000,1e-09,1.277497,12851.88818,252,0.00179422,287,0.00205333
1450001,1500000,1e-09,1.35549454816,11193,259,0.00169867,326,0.00219467
1500001,1550000,1e-09,1.193336421184,15452.276,278,0.002044,346,0.00249911
1550001,1600000,1e-09,0.9139074,16093,324,0.00222356,285,0.00202444
1600001,1650000,1e-09,0.9139074,16093,390,0.00252311,367,0.00250178
1650001,1700000,1e-09,0.9139074,16093,333,0.00209378,327,0.00204044
1700001,1750000,1e-09,0.923238754618,16093,368,0.00236089,330,0.00211467
1750001,1800000,1e-09,0.930663921302,23790.60196,412,0.00313333,409,0.00325467
1800001,1850000,1e-09,0.3496838,19147,435,0.00318222,152,0.00109689
1850001,1900000,1e-09,0.595546762176,19147,360,0.00247467,207,0.001464
1900001,1950000,1e-09,1.152423,19726.56022,385,0.00283333,430,0.002996
1950001,2000000,1e-09,1.152423,20494,414,0.002848,476,0.00338
2000001,2050000,1e-09,1.152423,20494,368,0.00291022,445,0.003432
2050001,2100000,1e-09,1.152423,20022.42916,369,0.00292711,420,0.00327911
2100001,2150000,1e-09,1.15019518102,18931.87216,372,0.00279778,404,0.00311733
2150001,2200000,1e-09,1.099158,20494,380,0.00272,395,0.00286089
2200001,2250000,1e-09,0.88941956329,20494,410,0.00280178,399,0.002776
2250001,2300000,1e-09,0.1868551,30954.90004,455,0.00363333,100,0.000788889
2300001,2350000,1e-09,0.1868551,12280,295,0.00193422,61,0.000401778
2350001,2400000,1e-09,0.272096913592,12280,286,0.00182133,78,0.000504444
2400001,2450000,1e-09,0.706987651326,12280,269,0.00179022,210,0.00139156
2450001,2500000,1e-09,0.8307142,12280,262,0.001692,251,0.00161467
2500001,2550000,1e-09,0.8307142,12280,255,0.00175022,228,0.00158889
2550001,2600000,1e-09,1.364944940864,12280,267,0.001764,362,0.00249333
2600001,2650000,1e-09,1.410593,16530.02732,301,0.00199644,394,0.00259689
2650001,2700000,1e-09,1.410593,27044,399,0.00271778,504,0.00340889
2700001,2750000,1e-09,1.410593,21065.09408,348,0.00276044,462,0.00374667
2750001,2800000,1e-09,1.410593,23599.92788,318,0.00272444,452,0.003824
2800001,2850000,1e-09,1.410593,19724.01966,279,0.00232133,413,0.00349689
2850001,2900000,1e-09,1.410593,10829,209,0.00146889,302,0.00211689
2900001,2950000,1e-09,1.410593,19303.13474,298,0.00238222,396,0.00310756
2950001,3000000,1e-09,1.410593,43235.29656,539,0.00449289,722,0.00604489
3000001,3050000,1e-09,1.410593,44198.55112,590,0.00499867,765,0.00630844
3050001,3100000,1e-09,1.410593,46783.5254,605,0.00502489,844,0.00695022
3100001,3150000,1e-09,1.1981679849084,43185.50002,562,0.00452044,646,0.00516756
3150001,3200000,1e-09,0.8929826454464,40744.4728,478,0.00388711,426,0.00350044
3200001,3250000,1e-09,1.054705,40149.86506,475,0.00310044,454,0.00300978
3250001,3300000,1e-09,0.78502492493,40612,505,0.00335289,417,0.00272667
3300001,3350000,1e-09,0.79272123646,19044.88054,311,0.00169778,234,0.00127689
3350001,3400000,1e-09,1.067186,33071.88238,471,0.00238311,468,0.00240711
3400001,3450000,1e-09,1.067186,31961.25218,432,0.00193778,474,0.00221467
3450001,3500000,1e-09,1.067186,28429.41596,378,0.00217289,438,0.00258933
3500001,3550000,1e-09,0.865649496536,23096.744,364,0.00260667,325,0.00229822
3550001,3600000,1e-09,0.6042746,24881.64342,358,0.00231644,235,0.00150933
3600001,3650000,1e-09,0.35096999168,18887.73504,305,0.00198533,97,0.000611556
3650001,3700000,1e-09,0.3270026,15612,304,0.00208622,109,0.000751556
3700001,3750000,1e-09,0.3270026,15524.30552,332,0.00238889,92,0.000682667
3750001,3800000,1e-09,0.577830609432,15331,313,0.00216267,188,0.00122844
3800001,3850000,1e-09,0.684266395352,18871.7872,418,0.00253956,268,0.00165333
3850001,3900000,1e-09,0.401940276248,36738.89044,523,0.00303378,212,0.00115378
3900001,3950000,1e-09,0.507969779928,28936.57676,498,0.00264533,224,0.00125644
3950001,4000000,1e-09,1.516609,23297,354,0.00225822,532,0.00348133
4000001,4050000,1e-09,1.516609,16613.06352,292,0.00196578,429,0.00281333
4050001,4100000,1e-09,1.516609,7593,191,0.00115422,305,0.00180089
4100001,4150000,1e-09,0.718606024296,18789.32384,321,0.00245778,164,0.00122
4150001,4200000,1e-09,1.27371400335,34882.55168,480,0.00415689,580,0.00493378
4200001,4250000,1e-09,1.285895,15052.10288,276,0.00203067,315,0.00236489
4250001,4300000,1e-09,1.0650080924,45321.98144,601,0.00554222,614,0.00559822
4300001,4350000,1e-09,0.517019226042,53847.718,647,0.00593822,338,0.00312933
4350001,4400000,1e-09,0.389911966886,25938.9376,434,0.00238222,184,0.00106711
4400001,4450000,1e-09,1.8773397146,18104.70408,360,0.00221156,556,0.00348
4450001,4500000,1e-09,2.161379049,11724,268,0.00176178,535,0.0034
