Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,50000,1e-09,0.5869804,56173.43026,837,0.00654711,447,0.003404
50001,100000,1e-09,0.610696352086,39291.82408,570,0.00477467,352,0.00295422
100001,150000,1e-09,0.446480671168,11282,226,0.00159556,99,0.000680889
150001,200000,1e-09,0.730803120304,11282,241,0.00167511,152,0.00109644
200001,250000,1e-09,1.047316,11282,240,0.00175333,250,0.00175956
250001,300000,1e-09,1.012073610034,12264.85928,229,0.00157156,246,0.00179467
300001,350000,1e-09,0.9826297,23474.69414,426,0.00318044,386,0.00293911
350001,400000,1e-09,0.9826297,14407.83746,222,0.001676,255,0.00189778
400001,450000,1e-09,0.9826297,27443.4032,422,0.00349467,424,0.00348756
450001,500000,1e-09,0.9826297,34180,548,0.00443644,545,0.00431733
500001,550000,1e-09,0.948959890286,25222.11744,522,0.00403511,457,0.00349956
550001,600000,1e-09,0.2303076,19289.1059,398,0.00286044,72,0.000535556
600001,650000,1e-09,0.2303076,19321,375,0.00262756,88,0.000603111
650001,700000,1e-09,0.992852320688,19321,382,0.00272178,316,0.00219867
700001,750000,1e-09,1.120694,19321,361,0.00286178,357,0.00283644
750001,800000,1e-09,1.120694,19321,392,0.00293733,423,0.00309244
800001,850000,1e-09,1.120694,20046.61472,339,0.002064,395,0.00238667
850001,900000,1e-09,0.873028312296,35101.63664,456,0.00265511,427,0.002356
900001,950000,1e-09,0.504231462472,35594,519,0.00409289,297,0.00236444
950001,1000000,1e-09,0.6844574,37961.92222,538,0.00446267,368,0.00297822
1000001,1050000,1e-09,0.6844574,27297.60126,432,0.00292533,307,0.002068
1050001,1100000,1e-09,0.940687754302,25327.71456,407,0.00314756,400,0.00293511
1100001,1150000,1e-09,0.892755156704,22074,378,0.00209022,362,0.00202933
1150001,1200000,1e-09,0.5860459544,19996.15528,356,0.002068,180,0.00103733
1200001,1250000,1e-09,1.001123072414,15060.7422,284,0.00206844,279,0.00195689
1250001,1300000,1e-09,1.465715,15829,299,0.00197556,463,0.00336044
1300001,1350000,1e-09,1.33293849408,13782.60502,260,0.00177378,347,0.00231378
1350001,1400000,1e-09,1.277497,13430,257,0.001564,343,0.00210622
1400001,1450000,1e-09,1.277497,13430,213,0.001376,310,0.00198667
1450001,1500000,1e-09,1.35549454816,13430,254,0.001572,345,0.00216667
1500001,1550000,1e-09,1.193336421184,13430,268,0.00176356,319,0.00214311
1550001,1600000,1e-09,0.9139074,13430,299,0.00199689,238,0.00163733
1600001,1650000,1e-09,0.9139074,15116.12192,263,0.00185378,278,0.00203644
1650001,1700000,1e-09,0.9139074,15698,351,0.00240356,264,0.00168978
1700001,1750000,1e-09,0.923238754618,23161.7686,404,0.00296533,374,0.00270667
1750001,1800000,1e-09,0.930663921302,28202.34936,495,0.00366,432,0.00332756
1800001,1850000,1e-09,0.3496838,15698,354,0.00233644,138,0.000899556
1850001,1900000,1e-09,0.595546762176,16039.5232,357,0.00227911,247,0.00159156
1900001,1950000,1e-09,1.152423,20959.6064,432,0.00294711,470,0.00306667
1950001,2000000,1e-09,1.152423,22074,428,0.00272356,454,0.00296133
2000001,2050000,1e-09,1.152423,18976.18044,335,0.00215022,397,0.00256756
2050001,2100000,1e-09,1.152423,9879,215,0.00144489,231,0.00159067
2100001,2150000,1e-09,1.15019518102,9879,196,0.00139556,219,0.00151378
2150001,2200000,1e-09,1.099158,9879,178,0.00131378,220,0.00172356
2200001,2250000,1e-09,0.88941956329,9879,208,0.00149956,168,0.00120889
2250001,2300000,1e-09,0.1868551,13480.7964,214,0.00175289,35,0.000281778
2300001,2350000,1e-09,0.1868551,15109,198,0.00171556,37,0.000297778
2350001,2400000,1e-09,0.272096913592,15109,210,0.00169556,50,0.000376889
2400001,2450000,1e-09,0.706987651326,22395.45736,303,0.00289422,197,0.00175333
2450001,2500000,1e-09,0.8307142,25748.9496,347,0.00322311,277,0.00254533
2500001,2550000,1e-09,0.8307142,20207.7445,293,0.00267289,217,0.00189422
2550001,2600000,1e-09,1.364944940864,21448.41756,268,0.00237378,400,0.00357556
2600001,2650000,1e-09,1.410593,14092.09904,202,0.00167022,255,0.00219111
2650001,2700000,1e-09,1.410593,9981,149,0.00126622,220,0.00190711
2700001,2750000,1e-09,1.410593,9981,143,0.00125422,192,0.00160444
2750001,2800000,1e-09,1.410593,14485.4352,241,0.00165911,336,0.00226133
2800001,2850000,1e-09,1.410593,15109,243,0.002044,317,0.00260444
2850001,2900000,1e-09,1.410593,15109,248,0.00186844,355,0.00275733
2900001,2950000,1e-09,1.410593,21652.50906,324,0.00268356,462,0.00378089
2950001,3000000,1e-09,1.410593,22526,314,0.00245867,462,0.00367156
3000001,3050000,1e-09,1.410593,10922.3768,164,0.00120578,265,0.001896
3050001,3100000,1e-09,1.410593,9981,188,0.00139022,251,0.00168578
3100001,3150000,1e-09,1.1981679849084,8394.70272,166,0.00100978,193,0.00114978
3150001,3200000,1e-09,0.8929826454464,5745,154,0.000770222,134,0.000701333
3200001,3250000,1e-09,1.054705,11421.21706,205,0.001376,198,0.00137333
3250001,3300000,1e-09,0.78502492493,10786,202,0.00130578,151,0.000983556
3300001,3350000,1e-09,0.79272123646,13745.49832,306,0.00181111,205,0.00116978
