Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,200000,1e-09,0.5937401358895,41897.91257,2660,0.00419178,1534,0.00239722
200001,400000,1e-09,1.0061622525085,15369.529045,1397,0.00217444,1366,0.002104
400001,600000,1e-09,0.7861317225715,12546.419695,1189,0.00172667,929,0.00135933
600001,800000,1e-09,0.866136980172,10882.63438,989,0.00128211,875,0.00108522
800001,1000000,1e-09,0.795602793692,24204.94008,1610,0.00312656,1252,0.00235922
1000001,1200000,1e-09,0.7759865663515,25672.045225,1773,0.00324444,1393,0.00260722
1200001,1400000,1e-09,1.2693183916235,24026.911045,1611,0.00302922,1986,0.00379056
1400001,1600000,1e-09,1.185058842336,29428.218585,1760,0.00280633,1919,0.00295589
1600001,1800000,1e-09,0.92042936898,40190.177175,2140,0.003508,1954,0.00318467
1800001,2000000,1e-09,0.812519140544,29396.295825,2082,0.00271522,1618,0.00216167
2000001,2200000,1e-09,1.138549795255,29626.30404,1941,0.00250033,2109,0.00269744
2200001,2400000,1e-09,0.3838066692205,35755.04733,2346,0.00358778,814,0.00115278
2400001,2600000,1e-09,0.9333402480475,49870.61833,2901,0.00422656,2753,0.00399489
2600001,2800000,1e-09,1.410593,30137.86914,1742,0.00364111,2372,0.00496611
2800001,3000000,1e-09,1.410593,11372.31847,762,0.00130956,1160,0.00196144
3000001,3200000,1e-09,1.2280841575887,17592.066785,1076,0.00214289,1374,0.00269156
3200001,3400000,1e-09,0.9249092903475,11135.350865,816,0.00123822,752,0.00116911
3400001,3600000,1e-09,0.901074024134,32651.61795,2128,0.00375178,2024,0.00351922
3600001,3800000,1e-09,0.395701450278,24081.710425,1660,0.00328256,592,0.00114022
3800001,4000000,1e-09,0.777696362882,19192.65445,1311,0.00244367,907,0.00162211
4000001,4200000,1e-09,1.2563845069115,9972,939,0.00148644,1160,0.00191167
4200001,4400000,1e-09,0.814458571332,10246.97872,936,0.00125133,752,0.00103433
4400001,4600000,1e-09,1.4101243496285,32808.70347,1823,0.00304356,2537,0.00426911
4600001,4800000,1e-09,0.987748939571,22151.46914,1391,0.00271233,1311,0.00248933
4800001,5000000,1e-09,1.37446,18376.2227,1148,0.00195956,1597,0.00274911
5000001,5200000,1.5e-08,0.90789031984,28771.01753,1822,0.00331167,1664,0.00305133
5200001,5400000,1.5e-08,0.7955176,28480.375695,1765,0.00324556,1406,0.00267211
5400001,5600000,1.5e-08,0.729775928395,38095.05184,2324,0.00427356,1659,0.003082
5600001,5800000,1.5e-08,0.791249983303,41942.051045,2584,0.004535,2012,0.00352344
5800001,6000000,1.5e-08,0.885029705582,37545.296805,2393,0.00397789,2276,0.003815
6000001,6200000,1.5e-08,0.826969669544,38771.147565,2466,0.00455056,1976,0.00359811
6200001,6400000,1.5e-08,0.861062529949,36429.026835,2161,0.00381867,1949,0.00339578
6400001,6600000,1.5e-08,0.559798631905,39127.389725,2516,0.00438889,1412,0.00243956
6600001,6800000,1.5e-08,1.13918467722,39752.83609,2474,0.00476489,2791,0.005362
6800001,7000000,1.5e-08,1.599181181565,38242.799965,2201,0.00403822,3621,0.00671389
7000001,7200000,1.5e-08,1.14753519132,34137.39513,1919,0.003202,2151,0.00360856
7200001,7400000,1.5e-08,1.25207875106,32822.73245,2039,0.00369111,2655,0.00480856
7400001,7600000,1.5e-08,0.7110298214365,36080.153575,2407,0.00438833,1813,0.00325544
7600001,7800000,1.5e-08,0.7185966720115,37368.56421,2236,0.00386333,1715,0.00297211
7800001,8000000,1.5e-08,1.0632531414725,37764.07477,2310,0.00424789,2573,0.00463711
8000001,8200000,1.5e-08,1.7968838062525,42562.999585,2562,0.00463056,4461,0.008144
8200001,8400000,1.5e-08,0.7302068332155,34665.3578,2109,0.00408778,1446,0.00273478
8400001,8600000,1.5e-08,1.17023382246,31949.035995,2187,0.00367267,2672,0.00453822
8600001,8800000,1.5e-08,0.4591394593845,34903.725595,2301,0.00371789,986,0.00158778
8800001,9000000,1.5e-08,0.632375748694,29306.326085,2061,0.00340511,1233,0.00202389
9000001,9200000,1.5e-08,0.83095794376,44615.73659,2872,0.00536011,2363,0.004322
9200001,9400000,1.5e-08,0.7813896672685,31570.243175,2016,0.00366922,1568,0.00289022
9400001,9600000,1.5e-08,0.660431930815,35534.339555,2171,0.00399111,1329,0.00257722
9600001,9800000,1.5e-08,0.9315245256415,36765.69005,2313,0.00376111,2277,0.00372856
9800001,10000000,1.5e-08,0.4957107,26293.402175,1850,0.00307733,963,0.00160822
