Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,1e-09,0.8095547769667,30499.56538,9601,0.00322969,7947,0.00268996
1000001,2000000,1e-09,0.992662461967,32169.372607,10199,0.00354776,10572,0.00366371
2000001,3000000,1e-09,1.0553765425046,34340.225395,11091,0.00386962,11856,0.00416622
3000001,4000000,1e-09,0.84549305704604,33662.321099,10753,0.00370156,9190,0.003144
4000001,5000000,1e-09,1.1686352734886,34045.69044,11076,0.00389073,13346,0.00472449
5000001,6000000,1.5e-08,0.821892707424,35480.620775,11015,0.00384416,9257,0.00324516
6000001,7000000,1.5e-08,0.9972393380366,35569.788153,11047,0.0039004,10900,0.00386836
7000001,8000000,1.5e-08,0.9784987154601,35250.133753,11052,0.00389264,10874,0.00380844
8000001,9000000,1.5e-08,0.9577679340013,35760.950565,11153,0.0039604,10608,0.00374929
9000001,10000000,1.5e-08,0.740002953497,35624.623837,11088,0.00394227,8178,0.00288536
10000001,11000000,1e-09,0.9589482666434,36019.206758,11420,0.00395536,10711,0.00382744
11000001,12000000,1e-09,0.8378875293401,31731.456121,9543,0.00329204,8019,0.00276222
12000001,13000000,1e-09,0.7043941726871,37295.662523,11919,0.00413393,8608,0.00303636
13000001,14000000,1e-09,1.1648315638027,31434.886268,9603,0.00340187,11297,0.00398038
14000001,15000000,1e-09,1.1685579894948,32550.340064,10656,0.00375342,12308,0.00428298
15000001,16000000,1.5e-08,0.6171786166983,35081.521691,10760,0.00379276,6899,0.00244284
16000001,17000000,1.5e-08,0.6826651860537,35085.262335,11201,0.00395933,7633,0.00271324
17000001,18000000,1.5e-08,0.816549262845,36510.219259,11372,0.00399884,9432,0.00333636
18000001,19000000,1.5e-08,0.7306108517317,37015.246292,11402,0.0041136,8241,0.00295473
19000001,20000000,1.5e-08,1.2776235765792,36546.182279,11434,0.00406167,14831,0.00533358
20000001,21000000,1e-09,0.9111885478598,36046.069137,11264,0.00392476,9958,0.00337698
21000001,22000000,1e-09,0.9655684174914,33172.477591,10744,0.00377596,10124,0.00354176
22000001,23000000,1e-09,0.7973020040365,33489.906698,10449,0.00367591,8383,0.00295796
23000001,24000000,1e-09,0.9222911892337,28726.150146,10306,0.00348856,9812,0.00330613
24000001,25000000,1e-09,0.9050349974841,31542.707907,9716,0.00336807,8735,0.00307276
25000001,26000000,1.5e-08,1.0530510081065,35307.309686,10999,0.00392407,11504,0.00410184
26000001,27000000,1.5e-08,1.1085778938268,35472.427019,11159,0.00401589,12183,0.00431824
27000001,28000000,1.5e-08,0.98323483819,36099.803046,11152,0.00394613,11041,0.0039144
28000001,29000000,1.5e-08,1.1350985092916,36038.190095,11148,0.00395756,12770,0.00450029
29000001,30000000,1.5e-08,0.7736527117388,35867.573304,11332,0.00403667,8595,0.00306251
