Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,1e-09,0.8095547769667,32158.451981,9508,0.0035622,7605,0.00283876
1000001,2000000,1e-09,0.992662461967,33697.302359,10449,0.00377662,9932,0.00361491
2000001,3000000,1e-09,1.0553765425046,31665.260988,10033,0.00356669,10197,0.00358591
3000001,4000000,1e-09,0.84549305704604,36711.446445,10956,0.0039088,9492,0.00343058
4000001,5000000,1e-09,1.1686352734886,37175.296018,11693,0.00412087,13474,0.00473196
5000001,6000000,1.5e-08,0.821892707424,36200.457147,11258,0.00398496,9078,0.00322451
6000001,7000000,1.5e-08,0.9972393380366,35663.803709,11174,0.00396067,11236,0.00400253
7000001,8000000,1.5e-08,0.9784987154601,35399.793988,11246,0.00398624,11131,0.00398416
8000001,9000000,1.5e-08,0.9577679340013,35017.345536,11260,0.00398238,10867,0.00383216
9000001,10000000,1.5e-08,0.740002953497,35669.055616,11375,0.00401287,8328,0.00293671
10000001,11000000,1e-09,0.9589482666434,33255.88921,10219,0.00348873,10314,0.00357602
11000001,12000000,1e-09,0.8378875293401,33138.119618,10692,0.00375009,9192,0.00320344
12000001,13000000,1e-09,0.7043941726871,33930.792801,10789,0.00381509,7536,0.00268733
13000001,14000000,1e-09,1.1648315638027,33465.840123,10417,0.00355836,12067,0.00408762
14000001,15000000,1e-09,1.1685579894948,36148.143957,11288,0.00405991,12866,0.00471096
15000001,16000000,1.5e-08,0.6171786166983,35851.786084,11240,0.00398073,6951,0.0024556
16000001,17000000,1.5e-08,0.6826651860537,36735.138687,11459,0.00408384,7617,0.00269629
17000001,18000000,1.5e-08,0.816549262845,36159.733552,11293,0.00400844,9432,0.00331836
18000001,19000000,1.5e-08,0.7306108517317,35906.674719,11245,0.00394789,8262,0.0029076
19000001,20000000,1.5e-08,1.2776235765792,35750.276272,11016,0.00394127,13888,0.00503378
20000001,21000000,1e-09,0.9111885478598,34731.105249,10185,0.00356587,9109,0.00316582
21000001,22000000,1e-09,0.9655684174914,32636.481344,9787,0.00360073,8931,0.0032114
22000001,23000000,1e-09,0.7973020040365,36633.451139,11413,0.00407364,9354,0.00337453
23000001,24000000,1e-09,0.9222911892337,33342.619624,10291,0.00363367,9457,0.00336804
24000001,25000000,1e-09,0.9050349974841,30874.66474,10123,0.00352667,9579,0.0033692
25000001,26000000,1.5e-08,1.0530510081065,35595.91406,11195,0.00389958,11882,0.00421249
26000001,27000000,1.5e-08,1.1085778938268,35640.981226,11078,0.00392984,12116,0.00432162
27000001,28000000,1.5e-08,0.98323483819,34715.279696,11010,0.00387427,11094,0.00388371
28000001,29000000,1.5e-08,1.1350985092916,35767.204387,11214,0.0039616,12596,0.00444058
29000001,30000000,1.5e-08,0.7736527117388,36543.626464,11698,0.00415107,8825,0.00314871
