Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,200000,1e-09,0.5937401358895,27379.654025,2026,0.00326744,1137,0.00181144
200001,400000,1e-09,1.0061622525085,37124.61652,2328,0.00417511,2499,0.00442522
400001,600000,1e-09,0.7861317225715,28754.206785,1809,0.003057,1352,0.00233933
600001,800000,1e-09,0.866136980172,35137.88957,2135,0.00382478,1780,0.00316678
800001,1000000,1e-09,0.795602793692,31696.841455,1930,0.00347033,1590,0.00285911
1000001,1200000,1e-09,0.7759865663515,40375.813,2592,0.00466222,1929,0.00353422
1200001,1400000,1e-09,1.2693183916235,36915.827765,2368,0.00409956,3017,0.00525611
1400001,1600000,1e-09,1.185058842336,33612.91843,1864,0.00368856,2197,0.00436622
1600001,1800000,1e-09,0.92042936898,34196.93999,2180,0.003739,1982,0.00339533
1800001,2000000,1e-09,0.812519140544,35821.718855,2226,0.00433656,1819,0.00345511
2000001,2200000,1e-09,1.138549795255,32678.58694,2091,0.00393356,2320,0.00448478
2200001,2400000,1e-09,0.3838066692205,32839.213495,2043,0.00346022,771,0.00132089
2400001,2600000,1e-09,0.9333402480475,27793.228625,1939,0.00302656,1732,0.00266967
2600001,2800000,1e-09,1.410593,22502.109035,1531,0.00251211,2100,0.003451
2800001,3000000,1e-09,1.410593,27468.94088,1828,0.00310289,2664,0.00440222
3000001,3200000,1e-09,1.2280841575887,32139.009325,2166,0.00386756,2696,0.00484433
3200001,3400000,1e-09,0.9249092903475,35576.372175,2148,0.00354211,2044,0.00342544
3400001,3600000,1e-09,0.901074024134,28378.62993,2039,0.00362622,1648,0.00288478
3600001,3800000,1e-09,0.395701450278,36136.49941,2312,0.00400811,961,0.00161911
3800001,4000000,1e-09,0.777696362882,38428.41792,2552,0.00392733,2242,0.00328544
4000001,4200000,1e-09,1.2563845069115,30528.502775,2433,0.00404989,2878,0.00472578
4200001,4400000,1e-09,0.814458571332,38457.27757,2636,0.00474767,2325,0.00416378
4400001,4600000,1e-09,1.4101243496285,44250.333725,2658,0.00497989,3622,0.00695056
4600001,4800000,1e-09,0.987748939571,46283.78075,2907,0.00519222,2831,0.00503922
4800001,5000000,1e-09,1.37446,33243.83825,1966,0.00353689,2695,0.00486989
5000001,5200000,1.5e-08,0.90789031984,34592.172335,2153,0.00379111,1919,0.00339889
5200001,5400000,1.5e-08,0.7955176,37636.84393,2445,0.004208,1887,0.00328278
5400001,5600000,1.5e-08,0.729775928395,34589.14842,2125,0.00374578,1499,0.00265911
5600001,5800000,1.5e-08,0.791249983303,35006.04383,2174,0.00387856,1758,0.00311978
5800001,6000000,1.5e-08,0.885029705582,36297.1053,2376,0.00410411,2064,0.00363511
6000001,6200000,1.5e-08,0.826969669544,36547.678355,2263,0.00409678,1891,0.00344567
6200001,6400000,1.5e-08,0.861062529949,35026.166645,2243,0.00381522,1940,0.00330067
6400001,6600000,1.5e-08,0.559798631905,34493.708555,2209,0.00391944,1204,0.00210733
6600001,6800000,1.5e-08,1.13918467722,36843.120115,2315,0.00403756,2711,0.00469589
6800001,7000000,1.5e-08,1.599181181565,36509.509835,2348,0.004101,3619,0.00631656
7000001,7200000,1.5e-08,1.14753519132,36062.562405,2238,0.00392144,2608,0.00460911
7200001,7400000,1.5e-08,1.25207875106,36620.49159,2303,0.00413844,2874,0.00507056
7400001,7600000,1.5e-08,0.7110298214365,37999.34494,2342,0.00414411,1601,0.00281056
7600001,7800000,1.5e-08,0.7185966720115,34542.10217,2192,0.00387478,1601,0.00291856
7800001,8000000,1.5e-08,1.0632531414725,34060.375285,2137,0.00371044,2220,0.00384944
8000001,8200000,1.5e-08,1.7968838062525,37740.8505,2476,0.00431244,4354,0.00772289
8200001,8400000,1.5e-08,0.7302068332155,34619.817655,2098,0.00372889,1493,0.00268844
8400001,8600000,1.5e-08,1.17023382246,35824.271725,2290,0.00412189,2542,0.00457133
8600001,8800000,1.5e-08,0.4591394593845,37898.15006,2375,0.00410322,1144,0.00194822
8800001,9000000,1.5e-08,0.632375748694,36582.056495,2295,0.00397344,1428,0.002514
9000001,9200000,1.5e-08,0.83095794376,36859.64464,2279,0.00412856,1977,0.00355944
9200001,9400000,1.5e-08,0.7813896672685,36044.71285,2347,0.00411289,1869,0.00323367
9400001,9600000,1.5e-08,0.660431930815,34730.490525,2190,0.00387056,1387,0.00246856
9600001,9800000,1.5e-08,0.9315245256415,35942.796525,2329,0.00415889,2151,0.00379544
9800001,10000000,1.5e-08,0.4957107,35458.867775,2134,0.00381111,1088,0.00193189
10000001,10200000,1e-09,0.5934227874305,33482.78753,2172,0.003808,1243,0.002177
10200001,10400000,1e-09,0.278526787422,34591.75511,2181,0.00404967,623,0.00114722
10400001,10600000,1e-09,0.3818005569635,30706.772845,2132,0.00358667,860,0.00141789
10600001,10800000,1e-09,1.617465201401,42567.091295,2457,0.00498022,3788,0.00770478
10800001,11000000,1e-09,1.923526,31755.35805,1828,0.00300878,3452,0.00566044
11000001,11200000,1e-09,0.620367903751,17863.706525,1184,0.00203522,775,0.00131656
11200001,11400000,1e-09,0.82149791523,33180.16159,1979,0.00361044,1621,0.00288378
11400001,11600000,1e-09,1.0289168059145,27070.258345,1809,0.00318156,1809,0.00316289
11600001,11800000,1e-09,0.8164507460865,23141.955955,1513,0.00247733,1274,0.00206378
11800001,12000000,1e-09,0.9022042757185,26618.773535,1625,0.00295044,1488,0.00270244
12000001,12200000,1e-09,0.795155315789,31602.221875,2196,0.00390889,1731,0.00302933
12200001,12400000,1e-09,1.007050745082,31590.39525,2000,0.00363878,1933,0.00352267
12400001,12600000,1e-09,1.146449552844,31681.52714,1875,0.00330111,2250,0.00395933
12600001,12800000,1e-09,0.198558601008,32080.740765,2066,0.00351489,434,0.000707778
12800001,13000000,1e-09,0.3747566487125,37955.80438,2568,0.004276,922,0.00147156
13000001,13200000,1e-09,1.241390476775,26588.106125,1879,0.00303644,2326,0.00380522
13200001,13400000,1e-09,0.722322326791,29829.905575,2019,0.00358622,1406,0.00246533
13400001,13600000,1e-09,1.4010168861015,33037.005215,2216,0.00341556,3172,0.00486178
13600001,13800000,1e-09,1.20310030725,39997.57549,2387,0.00444789,2759,0.005094
13800001,14000000,1e-09,1.256327822096,22682.507355,1503,0.00245322,1842,0.00307489
14000001,14200000,1e-09,2.016032,23883.74092,1506,0.00282644,2974,0.00557089
14200001,14400000,1e-09,0.919297366847,40463.41322,2421,0.00447611,2629,0.00482767
14400001,14600000,1e-09,0.7072157947085,37480.165165,2078,0.00399611,1467,0.00279667
14600001,14800000,1e-09,1.369723892364,27043.81793,1914,0.00325333,2597,0.00439211
14800001,15000000,1e-09,0.8305208935545,37479.344305,2284,0.00439489,1927,0.00367089
15000001,15200000,1.5e-08,0.469052574344,36426.855315,2301,0.00415433,1010,0.00186433
15200001,15400000,1.5e-08,0.581429967666,36978.32692,2349,0.00415633,1299,0.00235356
15400001,15600000,1.5e-08,0.8876970890705,33873.85237,2064,0.00372189,1831,0.00322722
15600001,15800000,1.5e-08,0.7219471094465,35795.31388,2228,0.00404811,1545,0.00284611
15800001,16000000,1.5e-08,0.4257663429645,34660.035965,2193,0.00376078,986,0.001736
16000001,16200000,1.5e-08,0.4196956,36168.165655,2198,0.00393911,916,0.00164244
16200001,16400000,1.5e-08,0.4196956,33948.08999,2130,0.00373333,880,0.00156778
16400001,16600000,1.5e-08,0.1548829674675,36882.133845,2192,0.00397667,382,0.000684778
16600001,16800000,1.5e-08,1.241672955863,37139.70552,2331,0.00419289,2833,0.00502722
16800001,17000000,1.5e-08,1.177378806938,31710.140015,1974,0.00348589,2402,0.00425356
17000001,17200000,1.5e-08,0.9017381,36306.661255,2184,0.003976,1991,0.00363644
17200001,17400000,1.5e-08,0.895441072482,31234.49079,1931,0.003451,1753,0.00307
17400001,17600000,1.5e-08,0.608859554962,35590.314345,2163,0.00380911,1298,0.00227289
17600001,17800000,1.5e-08,0.932886895393,36972.720575,2334,0.00417922,2163,0.00394433
17800001,18000000,1.5e-08,0.743820691388,33512.083775,2136,0.00380633,1603,0.00282233
18000001,18200000,1.5e-08,0.6696898419865,33103.860905,2046,0.003628,1402,0.00250789
18200001,18400000,1.5e-08,0.323299156018,35283.235625,2210,0.00398956,686,0.00123422
18400001,18600000,1.5e-08,0.526763970316,36013.09013,2246,0.00396911,1213,0.002131
18600001,18800000,1.5e-08,0.8925509609635,35056.76586,2185,0.00394611,1890,0.00342089
18800001,19000000,1.5e-08,1.2407503293745,35885.259555,2184,0.00394622,2693,0.00484489
19000001,19200000,1.5e-08,0.7360055728755,37826.06671,2314,0.00406767,1745,0.00306211
19200001,19400000,1.5e-08,0.695891671815,33387.402295,2103,0.00373689,1478,0.00262778
19400001,19600000,1.5e-08,1.925216406806,38718.62505,2380,0.00431044,4572,0.00808633
19600001,19800000,1.5e-08,1.5837012893775,34051.603215,2109,0.00368156,3309,0.00571667
19800001,20000000,1.5e-08,1.447302942022,36552.41328,2236,0.00396767,3242,0.00568122
20000001,20200000,1e-09,0.5919356,32742.142805,1861,0.00341956,1139,0.00206667
20200001,20400000,1e-09,0.8971153453345,25394.50506,1557,0.00271633,1384,0.00258433
20400001,20600000,1e-09,1.011026874457,28041.526385,1842,0.00343011,1770,0.00332911
20600001,20800000,1e-09,1.437674405746,30390.179205,1895,0.00308589,2616,0.00433989
20800001,21000000,1e-09,0.6181905137615,39694.803355,2586,0.00467122,1496,0.002651
21000001,21200000,1e-09,1.975137671285,31837.36914,2016,0.00362622,3286,0.005677
21200001,21400000,1e-09,0.7439128915785,34746.57695,2062,0.003678,1561,0.00269856
21400001,21600000,1e-09,0.7222897516625,25719.742485,1671,0.00285189,1211,0.002066
21600001,21800000,1e-09,0.729082121015,25322.61445,1646,0.00276144,1222,0.00213689
21800001,22000000,1e-09,0.657419651916,34610.649765,2052,0.00373389,1397,0.00248089
22000001,22200000,1e-09,0.6376954503105,34727.495915,2114,0.00423433,1424,0.00275933
22200001,22400000,1e-09,0.775118387802,37395.70546,2182,0.00413544,1640,0.00309278
22400001,22600000,1e-09,0.712983429076,35460.968145,2146,0.00402022,1707,0.00315889
22600001,22800000,1e-09,1.3903393199015,38474.32585,2276,0.00405744,3272,0.00585644
22800001,23000000,1e-09,0.4703734330925,30228.178,1888,0.00310833,803,0.00121144
23000001,23200000,1e-09,0.885954013241,31118.71559,2046,0.00356044,1734,0.00301567
23200001,23400000,1e-09,0.6921492999205,36974.98386,2052,0.00363878,1542,0.002679
23400001,23600000,1e-09,0.993008984775,29802.55471,1876,0.00342144,1780,0.00322256
23600001,23800000,1e-09,0.9985692945855,35799.114605,2340,0.00445789,2211,0.004208
23800001,24000000,1e-09,1.0417743536465,37170.5024,2504,0.00432433,2582,0.00456444
24000001,24200000,1e-09,0.9898672057765,22625.600135,1451,0.00265667,1363,0.00243789
24200001,24400000,1e-09,0.7060047381585,33634.3852,2068,0.00378522,1473,0.00269878
24400001,24600000,1e-09,0.664474675964,40381.520275,2319,0.00433656,1706,0.00314856
24600001,24800000,1e-09,1.4908846047305,38027.46912,2633,0.00463456,3910,0.00681878
24800001,25000000,1e-09,0.673943762791,32226.694435,2071,0.00333678,1555,0.00263367
25000001,25200000,1.5e-08,0.9205167,33681.94883,2125,0.00377378,1985,0.00352578
25200001,25400000,1.5e-08,0.9205167,35478.16507,2107,0.00381778,2035,0.00367422
25400001,25600000,1.5e-08,1.619236070754,35480.64932,2305,0.00409767,3751,0.00652433
25600001,25800000,1.5e-08,1.0625099718515,37667.91738,2284,0.00401322,2385,0.00426756
25800001,26000000,1.5e-08,0.742475597927,37357.097485,2373,0.00419556,1781,0.00310456
26000001,26200000,1.5e-08,0.7124687,36342.492045,2250,0.00400711,1618,0.00288622
26200001,26400000,1.5e-08,1.39969451366,37409.194335,2344,0.00423178,3115,0.00567622
26400001,26600000,1.5e-08,0.9616748,32752.40472,2014,0.00359167,1972,0.00345289
26600001,26800000,1.5e-08,0.966248459239,34115.51995,2165,0.00384156,2047,0.00359611
26800001,27000000,1.5e-08,1.502802996235,37311.258245,2233,0.00415633,3308,0.00617311
27000001,27200000,1.5e-08,0.4106546333895,33967.3249,2052,0.00372733,828,0.00149167
27200001,27400000,1.5e-08,0.73651499307,35753.720355,2199,0.00395944,1652,0.00292733
27400001,27600000,1.5e-08,0.953064324799,35198.91945,2119,0.00377644,2073,0.00365733
27600001,27800000,1.5e-08,1.3752262396915,35703.97406,2191,0.00385289,2998,0.00529322
27800001,28000000,1.5e-08,1.440714,35164.36716,2283,0.003948,3330,0.00575311
28000001,28200000,1.5e-08,1.61141557045,38984.323255,2449,0.00435133,3882,0.007002
28200001,28400000,1.5e-08,0.552576505686,37176.2875,2304,0.00413167,1411,0.00251889
28400001,28600000,1.5e-08,0.757682359407,35246.995635,2187,0.00381378,1613,0.00286322
28600001,28800000,1.5e-08,1.455312731736,36563.573465,2266,0.00393033,3324,0.005743
28800001,29000000,1.5e-08,1.298505379179,32575.9812,2080,0.00370856,2651,0.00469911
29000001,29200000,1.5e-08,0.6831336109685,36420.27474,2280,0.00393033,1623,0.002907
29200001,29400000,1.5e-08,0.4110407,35458.286215,2219,0.003919,887,0.00156111
29400001,29600000,1.5e-08,0.6592719631975,39227.97658,2574,0.00445889,1597,0.00271911
29600001,29800000,1.5e-08,1.301759514578,36251.76346,2345,0.00404011,3054,0.00525978
29800001,30000000,1.5e-08,0.81305776995,36947.97778,2273,0.00411,1914,0.00357089
