Start,Stop,Rate
1,1000000,1e-09
1000001,2000000,1e-09
2000001,3000000,1e-09
3000001,4000000,1e-09
4000001,5000000,1e-09
5000001,6000000,1.5e-08
6000001,7000000,1.5e-08
7000001,8000000,1.5e-08
8000001,9000000,1.5e-08
9000001,10000000,1.5e-08
10000001,11000000,1e-09
11000001,12000000,1e-09
12000001,13000000,1e-09
13000001,14000000,1e-09
14000001,15000000,1e-09
15000001,16000000,1.5e-08
16000001,17000000,1.5e-08
17000001,18000000,1.5e-08
18000001,19000000,1.5e-08
19000001,20000000,1.5e-08
20000001,21000000,1e-09
21000001,22000000,1e-09
22000001,23000000,1e-09
23000001,24000000,1e-09
24000001,25000000,1e-09
25000001,26000000,1.5e-08
26000001,27000000,1.5e-08
27000001,28000000,1.5e-08
28000001,29000000,1.5e-08
29000001,30000000,1.5e-08
