Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,10.320206097,0.73153505483753,16823.265811,6576,0.00221907,5576,0.00189051
1000001,2000000,27.090541004,1.3168435573532,31978.873628,11503,0.00392531,15125,0.00516124
2000001,3000000,28.146016627,1.3369127016419,29261.397138,10881,0.00376369,14043,0.00484764
3000001,4000000,42.336300009,1.2667403693172,31716.464242,11659,0.00400451,14845,0.0051852
4000001,5000000,52.070130759,1.4924069545745,32408.683173,11971,0.00413378,16745,0.00585049
5000001,6000000,32.485194189,0.8049236445137,30767.357001,11343,0.00395289,9274,0.00320771
6000001,7000000,29.318767319,0.8681506470541,29813.906261,11436,0.00390533,10205,0.00345589
7000001,8000000,38.231672588,0.6576530795339,31044.102841,11503,0.00395118,7975,0.00270753
8000001,9000000,35.76889613,0.6997142977588,31262.203086,11780,0.0040616,8739,0.00297411
9000001,10000000,28.146016628,1.2390201148793,29743.940348,10874,0.00374411,12930,0.00448196
10000001,11000000,46.792752642,1.3433814971166,31858.981212,12088,0.00418133,15285,0.00525322
11000001,12000000,19.467661499,1.6583527525268,29642.905347,10341,0.00363833,16176,0.00577333
12000001,13000000,37.645297238,1.1350217638423,32077.310914,11360,0.00393116,12664,0.00443151
13000001,14000000,25.096864825,0.75019560191816,29737.913217,11227,0.00385791,9158,0.00315487
14000001,15000000,23.689563994,0.9564196973232,31099.590718,10672,0.0037192,10134,0.00352933
15000001,16000000,13.838458175,0.83387796027285,28463.517189,10188,0.00350002,8018,0.00273293
16000001,17000000,28.380566765,1.5862704603589,30779.400709,11198,0.00388087,16658,0.00577093
17000001,18000000,11.844781998,0.7951299959287,26672.908999,9452,0.00321722,7433,0.00250458
18000001,19000000,4.925552911,0.936062835793,19437.330198,7423,0.00250856,6778,0.00229862
19000001,20000000,3.28370194,0.868490984115,14726.119011,6360,0.00208289,5417,0.00175987
20000001,21000000,4.808277842,1.0694932856161,16327.816875,6911,0.00223282,7211,0.00234522
21000001,22000000,2.110951247,0.9426717054726,7716.604296,3906,0.00126664,3780,0.00124051
22000001,23000000,7.505604434,0.9329156636981,16083.130613,6757,0.00222558,6802,0.00225658
