Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,10.320206097,0.73153505483753,18941.180832,7728,0.00256402,6342,0.00214118
1000001,2000000,27.090541004,1.3168435573532,32054.259359,11500,0.00398729,14588,0.00508053
2000001,3000000,28.146016627,1.3369127016419,30584.20092,11189,0.00387276,14261,0.00500467
3000001,4000000,42.336300009,1.2667403693172,31892.454273,11742,0.00406973,14759,0.00514553
4000001,5000000,52.070130759,1.4924069545745,32585.329699,11927,0.00411427,17012,0.00599762
5000001,6000000,32.485194189,0.8049236445137,31385.072515,11195,0.00392942,9391,0.00327113
6000001,7000000,29.318767319,0.8681506470541,30255.312901,11488,0.00392671,10411,0.00357093
7000001,8000000,38.231672588,0.6576530795339,31948.21254,11490,0.00394818,7968,0.00272093
8000001,9000000,35.76889613,0.6997142977588,31583.196918,12051,0.00412138,9039,0.00303873
9000001,10000000,28.146016628,1.2390201148793,28852.209194,10441,0.00360129,12424,0.00431947
10000001,11000000,46.792752642,1.3433814971166,31379.0631,11955,0.0040758,15592,0.00537298
11000001,12000000,19.467661499,1.6583527525268,29801.970162,10636,0.00366451,17058,0.00593882
12000001,13000000,37.645297238,1.1350217638423,31693.108306,11274,0.00394613,12413,0.00431244
13000001,14000000,25.096864825,0.75019560191816,28818.820387,10819,0.00371467,8963,0.00307778
14000001,15000000,23.689563994,0.9564196973232,32175.133424,11057,0.0038706,10553,0.0036598
15000001,16000000,13.838458175,0.83387796027285,27249.064434,9963,0.00342016,7823,0.00266389
16000001,17000000,28.380566765,1.5862704603589,29134.400374,10847,0.00370862,15969,0.00548833
17000001,18000000,11.844781998,0.7951299959287,25729.184347,9247,0.00319298,7036,0.00241211
18000001,19000000,4.925552911,0.936062835793,19063.780027,6980,0.00243311,6191,0.00215876
19000001,20000000,3.28370194,0.868490984115,15671.133351,6076,0.00207513,4989,0.00166922
20000001,21000000,4.808277842,1.0694932856161,13870.542983,5460,0.00176873,5639,0.00183807
21000001,22000000,2.110951247,0.9426717054726,10704.606149,5082,0.00165367,4736,0.00156213
22000001,23000000,7.505604434,0.9329156636981,14395.837103,6738,0.00211478,6515,0.00206111
