Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,50000,0,1.2514016,10271,273,0.00183956,273,0.00178222
50001,100000,0,0.6312512,10271,261,0.00179556,198,0.00129289
100001,150000,0,0.71013805,10271,326,0.00203333,267,0.00171911
150001,200000,0,0.7890249,10271,324,0.00215511,259,0.00159911
200001,250000,0,1.25309895,10271,334,0.00222178,280,0.00188756
250001,300000,1.172750695,0.97195725,10271,306,0.002,170,0.00115822
300001,350000,1.172750695,0.2267415,14129.39262,348,0.00253378,144,0.00100844
350001,400000,2.34550139,0.2267415,14093.6496,315,0.00217867,91,0.000574667
400001,450000,2.34550139,0.80039475,12512.8475,294,0.00194889,295,0.00189156
450001,500000,11.141131585,0.95385365,19211.17522,379,0.00270844,257,0.00185689
500001,550000,11.141131585,0.4588109,31486.68958,591,0.00434933,289,0.00200889
550001,600000,17.004885045,0.764025066666667,29598.12602,615,0.00437467,530,0.00369733
600001,650000,17.004885045,0.650651843333333,25990.4932,509,0.00360756,492,0.00324667
650001,700000,12.31388227,0.755033365,30289.14192,527,0.00366444,633,0.00439244
700001,750000,12.31388227,1.451541,30248.68248,520,0.003892,762,0.00570444
750001,800000,17.004885045,1.451541,25863.28074,462,0.00302933,680,0.004672
800001,850000,17.004885045,0.718214733333333,30088.30188,609,0.00414667,601,0.00401422
850001,900000,26.973265935,0.2127949,30555.05292,615,0.00401111,237,0.001564
900001,950000,26.973265935,0.2127949,35743.54984,642,0.00452933,175,0.00114978
950001,1000000,32.25064405,0.54680375,33380.96246,570,0.00397556,365,0.00246489
1000001,1050000,32.25064405,0.7958515,32465.8799,615,0.00432444,546,0.00368533
1050001,1100000,31.07789336,0.7958515,33289.43804,610,0.00410622,467,0.00317067
1100001,1150000,31.07789336,1.35406325,29554.61936,605,0.004108,971,0.00661333
1150001,1200000,32.250644055,1.912275,27306.60372,591,0.00386889,1004,0.00660489
1200001,1250000,32.250644055,1.912275,31869.74126,606,0.00414889,1072,0.00744222
1250001,1300000,26.973265935,1.912275,34304.97116,619,0.00436889,1021,0.00714533
1300001,1350000,26.973265935,1.912275,32265.00676,518,0.00360756,1054,0.00718267
1350001,1400000,12.313882275,1.912275,31556.77296,555,0.00388889,979,0.00693733
1400001,1450000,12.313882275,1.912275,30456.59278,485,0.00347022,931,0.00645467
