Start,Stop,RecRate,MutRate,AverageTmrca,NbVariants.Homogeneous,Pi.Homogeneous,NbVariants.NonHomogeneous,Pi.NonHomogeneous
1,1000000,12.4738028236364,0.795020773888889,18417.583049,7556,0.00253342,6172,0.00206296
1000001,2000000,27.1687243833333,1.03025923333333,31485.912337,11096,0.00388718,14054,0.00490484
2000001,3000000,28.8301211975,1.31416023333333,30024.8933,11343,0.00389971,14510,0.00502802
3000001,4000000,41.6326495933333,0.868708592857143,31687.224393,11600,0.00401953,14481,0.00509384
4000001,5000000,54.1419903158333,1.28123583333333,32932.824441,11978,0.00412131,17140,0.00600056
5000001,6000000,34.3029577633333,0.821695123529412,30821.743444,11675,0.00400607,9436,0.0032334
6000001,7000000,34.7916038875,1.02545252727273,30031.192369,11300,0.00384382,10385,0.0034922
7000001,8000000,36.7461883758333,0.808397253333333,31866.531116,11564,0.0039842,8027,0.0028
8000001,9000000,38.309855965,0.7231038875,31140.49888,11658,0.00406098,8843,0.00306907
9000001,10000000,33.7165824183333,1.34090943846154,29633.988287,10891,0.00376547,12950,0.00446049
10000001,11000000,43.5872340816667,1.38035375882353,31511.248329,11853,0.00405969,15232,0.00526427
11000001,12000000,21.1095124691667,1.34010856,30981.78851,11235,0.00387496,17744,0.00614053
12000001,13000000,35.671166905,1.15827706,31613.707324,11125,0.00389871,12268,0.00430033
13000001,14000000,24.6277645475,1.052703282,28873.786965,10696,0.0036738,8920,0.00309144
14000001,15000000,22.0868047141667,1.13201126666667,31689.834981,10690,0.00366851,10514,0.00365053
15000001,16000000,12.9002576208333,0.85732375,27762.884939,9863,0.00336427,8036,0.00271533
16000001,17000000,25.99597369,1.26413372,31095.052166,11216,0.00387122,16635,0.00577262
17000001,18000000,15.3434882308333,1.15135194444444,25639.501734,9090,0.00307349,6909,0.00232971
18000001,19000000,5.863753465,1.06192917,19829.432536,7798,0.00255064,7141,0.00232398
19000001,20000000,3.32279362916667,1.25442815,14623.391198,6433,0.00201993,5543,0.00172333
20000001,21000000,5.179648895,1.2703496375,14287.299529,6324,0.0020306,6552,0.00211229
21000001,22000000,3.81143975166667,0.84917254,8274.532983,3978,0.00130089,4091,0.00138033
22000001,23000000,6.25467036166667,1.14232,14646.672509,6191,0.00192109,6038,0.00192458
