Start,Stop,AverageTmrca
0,1000000,18560.752325
1000000,2000000,31608.153096
2000000,3000000,30879.030002
3000000,4000000,31021.919838
4000000,5000000,32593.566882
5000000,6000000,30454.411997
6000000,7000000,29353.597290
7000000,8000000,30545.203685
8000000,9000000,30765.413049
9000000,10000000,30064.549608
10000000,11000000,31572.789810
11000000,12000000,30075.152472
12000000,13000000,31670.298643
13000000,14000000,29012.070283
14000000,15000000,31892.103867
15000000,16000000,26668.386319
16000000,17000000,29783.777741
17000000,18000000,26561.984689
18000000,19000000,19118.634513
19000000,20000000,15490.177935
20000000,21000000,14650.972803
21000000,22000000,8533.090081
22000000,23000000,13489.668443
23000000,23510001,5863.000000
