Start,Stop,AverageTmrca
0,200000,6927.000000
200000,400000,9236.215865
400000,600000,17971.511390
600000,800000,29150.238400
800000,1000000,31420.938505
1000000,1200000,30415.553695
1200000,1400000,32439.591790
1400000,1600000,33148.965275
1600000,1800000,31554.012945
1800000,2000000,32713.173090
2000000,2200000,31921.498300
2200000,2400000,29039.627320
2400000,2600000,32300.754815
2600000,2800000,32198.231705
2800000,3000000,27460.892460
3000000,3200000,27541.095020
3200000,3400000,30970.089015
3400000,3600000,33152.916460
3600000,3800000,32463.096860
3800000,4000000,35335.074010
4000000,4200000,34330.787435
4200000,4400000,32585.890250
4400000,4600000,31248.162650
4600000,4800000,32109.895475
4800000,5000000,32651.912685
5000000,5200000,31424.855850
5200000,5400000,31404.046255
5400000,5600000,32621.278985
5600000,5800000,32610.245305
5800000,6000000,28864.936180
6000000,6200000,27904.926555
6200000,6400000,31999.194000
6400000,6600000,30989.588605
6600000,6800000,30383.445325
6800000,7000000,29999.410020
7000000,7200000,33527.588815
7200000,7400000,33638.743945
7400000,7600000,29454.376880
7600000,7800000,30429.685125
7800000,8000000,32690.667935
8000000,8200000,31259.000740
8200000,8400000,31144.175545
8400000,8600000,31211.223440
8600000,8800000,31896.476290
8800000,9000000,32405.108575
9000000,9200000,31727.440545
9200000,9400000,19765.981090
9400000,9600000,32474.920240
9600000,9800000,31696.217025
9800000,10000000,28596.487070
10000000,10200000,33003.606795
10200000,10400000,30989.593240
10400000,10600000,32375.119900
10600000,10800000,31241.166635
10800000,11000000,29285.828930
11000000,11200000,30420.084345
11200000,11400000,30265.173100
11400000,11600000,29498.187290
11600000,11800000,29305.162605
11800000,12000000,29521.243470
12000000,12200000,31628.668915
12200000,12400000,33339.551170
12400000,12600000,32651.196045
12600000,12800000,31705.312105
12800000,13000000,29140.813295
13000000,13200000,31669.016090
13200000,13400000,20255.308500
13400000,13600000,31194.898345
13600000,13800000,33114.121055
13800000,14000000,27860.757945
14000000,14200000,33451.763265
14200000,14400000,30843.256120
14400000,14600000,34924.397820
14600000,14800000,30821.392745
14800000,15000000,30834.857170
15000000,15200000,27295.434610
15200000,15400000,33436.504145
15400000,15600000,29330.669735
15600000,15800000,25080.853925
15800000,16000000,21101.859755
16000000,16200000,22849.464645
16200000,16400000,27689.829945
16400000,16600000,33640.404020
16600000,16800000,31540.826065
16800000,17000000,29951.477195
17000000,17200000,33430.743780
17200000,17400000,31828.113440
17400000,17600000,18894.781460
17600000,17800000,16675.258845
17800000,18000000,27817.024210
18000000,18200000,24544.153565
18200000,18400000,23204.885400
18400000,18600000,14827.010055
18600000,18800000,13047.937470
18800000,19000000,19694.913645
19000000,19200000,15927.179190
19200000,19400000,16085.000905
19400000,19600000,11723.780680
19600000,19800000,11439.158600
19800000,20000000,23180.547380
20000000,20200000,11993.735255
20200000,20400000,9752.500510
20400000,20600000,19161.232295
20600000,20800000,12342.410605
20800000,21000000,16102.836250
21000000,21200000,18192.242525
21200000,21400000,6413.366205
21400000,21600000,12911.422015
21600000,21800000,8003.000000
21800000,22000000,8003.000000
22000000,22200000,5933.955150
22200000,22400000,26296.404440
22400000,22600000,15873.602385
22600000,22800000,13914.000000
22800000,23000000,9961.223540
23000000,23200000,8390.000000
23200000,23400000,8390.000000
23400000,23510001,8390.000000
